stop_id,stop_name,stop_lat,stop_lon
s0244,Nehoiașu Gara,45.431407,26.305931
s0245,Nehoiu,45.417054,26.300649
s0246,Niculeşti,45.438013,26.742521
s0247,Năeni,45.093212,26.492266
s0248,Odăile,45.396531,26.536393
s0249,Ogrăzi ramificaţie,45.115814,26.692477
s0250,Ojasca spital,45.279423,26.644425
s0251,Oreavul terasă,45.370750,27.029984
s0252,Padina 1,44.918215,26.986168
s0253,Padina 2,44.918215,26.986168
s0254,Pardoşi,45.454574,26.882734
s0255,Pestriţu,45.488354,26.543274
s0256,Petrişoru Mustăţari,45.231671,26.869558
s0257,Petrişoru Școală,45.252812,26.883803
s0258,Piatra Albă,45.380143,26.539361
s0259,Pietroasele Centru,45.093251,26.578433
s0260,Pietroasele SCDVV (Pietroasa blocuri),45.086203,26.575708
s0261,Pietroasele şcoală,45.090495,26.573016
s0262,Pietroiu,45.481852,26.924651
s0263,Pitulicea,44.881458,26.687277
s0264,Plaiul Nucului,45.488354,26.543274
s0265,Plevna,45.378154,27.013098
s0266,Pleşcoi 1,45.278492,26.901191
s0267,Pleşcoi 2,45.191404,26.787775
s0268,Pleșești,45.283075,26.703648
s0269,Ploștina,45.514424,26.515105
s0270,Podu Muncii,45.425271,26.744339
s0271,Podu Negru,45.443405,26.305319
s0272,Podul Bălan,45.264886,26.536979
s0273,Podul Muncii,45.430257,26.772388
s0274,Pogoanele Abator,44.918215,26.986168
s0275,Pogoanele Brutărie,44.918215,26.986168
s0276,Pogoanele Centru,44.918215,26.986168
s0277,Pogoanele Electrica,44.918215,26.986168
s0278,Pogoanele Piaţă,44.918215,26.986168
s0279,Pogoanele Spital,44.918215,26.986168
s0280,Poiana Vîlcului,45.498254,26.633650
s0281,Poienile,45.266141,26.355324
s0282,Policiori 1,45.344365,26.665844
s0283,Policiori 2,45.344365,26.665844
s0284,Policiori ramificaţie,45.344365,26.665844
s0285,Popas Merei,45.100967,26.695346
s0286,Potocenii de Jos,45.189436,26.792771
s0287,Potocenii de Sus,45.198639,26.772814
s0288,Potărnicheşti,45.219138,26.861206
s0289,Poşta Cilibia,45.067300,27.014122
s0290,Poşta Câlnău,45.235836,26.867753
s0291,Poşta Școală,45.479389,26.679494
s0292,Prosca,45.094897,26.482562
s0293,Prund Arselele - Jetu,45.441259,26.304381
s0294,Pruneni,45.331702,26.844966
s0295,Păltineni,45.395527,26.321122
s0296,Păltiniş,45.463013,26.373271
s0297,Pănătău ramificaţie,45.326858,26.369913
s0298,Părscov,45.288921,26.546166
s0299,Pătârlagele Autogara,45.323762,26.357504
s0300,Pătârlagele centru,45.314774,26.361416
s0301,Racoviţeni Botești,45.163009,26.816467
s0302,Racoviţeni Moară,45.210536,26.855302
s0303,Racoviţeni Poliție,45.188807,26.837102
s0304,Rm. Sărat Autogara TUC SA,45.387342,27.052774
s0305,Rm. Sărat Autogara Valman Tur,45.388248,27.051104
s0306,Rm. Sărat autobază,45.387342,27.052774
s0307,Rm. Sărat cartier Barasca,45.378047,27.024798
s0308,Rm. Sărat pod,45.382368,27.039177
s0309,Robeşti,45.295600,26.584753
s0310,Roiu,45.475819,26.942842
s0311,Roscoi,45.268169,26.353659
s0312,Roşioru 1,45.373967,26.487840
s0313,Roşioru 2,45.381447,26.490912
s0314,Rubla,45.353002,27.075253
s0315,Ruşeţu 1,45.254901,26.761113
s0316,Ruşeţu 2,45.254901,26.761113
s0317,Ruşeţu 3*,45.254901,26.761113
s0318,Rîmnicelu,45.364083,27.106664
s0319,Răducesti 2,45.494720,26.797370
s0320,Răduceşti 1,45.485716,26.785443
s0321,Răduceşti 3,45.501072,26.808777
s0322,Saranga moara Rînceanu,45.098193,26.612084
